basic methyl red
1/1/2006 12:59:45 PM
Wavelength (nm),Absorbance
553.00,0.554152
552.00,0.559203
551.00,0.563985
550.00,0.567907
549.00,0.571440
548.00,0.574090
547.00,0.576448
546.00,0.578691
545.00,0.580854
544.00,0.582802
543.00,0.584519
542.00,0.586487
541.00,0.587931
540.00,0.589584
539.00,0.591280
538.00,0.593338
537.00,0.595427
536.00,0.597569
535.00,0.599712
534.00,0.601963
533.00,0.604457
532.00,0.606239
531.00,0.608763
530.00,0.610728
529.00,0.612281
528.00,0.613719
527.00,0.614901
526.00,0.615748
525.00,0.615879
524.00,0.615889
523.00,0.615556
522.00,0.614197
521.00,0.612733
520.00,0.610186
519.00,0.607886
518.00,0.604717
517.00,0.600652
516.00,0.595776
515.00,0.590874
514.00,0.585976
513.00,0.580173
512.00,0.573987
511.00,0.566830
510.00,0.560103
509.00,0.553275
508.00,0.545702
507.00,0.538273
506.00,0.529722
505.00,0.522033
504.00,0.513657
503.00,0.506325
502.00,0.499092
501.00,0.490501
500.00,0.481988
499.00,0.474194
498.00,0.465669
497.00,0.457961
496.00,0.450193
495.00,0.441623
494.00,0.432928
493.00,0.424509
492.00,0.417170
491.00,0.409093
490.00,0.400708
489.00,0.391588
488.00,0.382963
487.00,0.374860
486.00,0.366092
485.00,0.357775
484.00,0.349405
483.00,0.340381
482.00,0.331881
481.00,0.323153
480.00,0.314976
479.00,0.306884
478.00,0.298477
477.00,0.289033
476.00,0.281427
475.00,0.273540
474.00,0.265378
473.00,0.257618
472.00,0.249848
471.00,0.242060
470.00,0.234736
469.00,0.227627
468.00,0.220922
467.00,0.213766
466.00,0.206734
465.00,0.200109
464.00,0.193514
463.00,0.187187
462.00,0.181439
461.00,0.174898
460.00,0.169044
459.00,0.163502
458.00,0.158047
457.00,0.152799
456.00,0.147479
455.00,0.142292
454.00,0.136661
453.00,0.132108
452.00,0.127430
451.00,0.122925
450.00,0.118560
449.00,0.113968
448.00,0.109887
447.00,0.105739
446.00,0.102193
445.00,0.098720
444.00,0.094821
443.00,0.091175
442.00,0.087844
441.00,0.084590
440.00,0.081540
439.00,0.078423
438.00,0.075522
437.00,0.072564
436.00,0.069952
435.00,0.067598
434.00,0.065168
433.00,0.062750
432.00,0.060441
431.00,0.058169
430.00,0.056041
429.00,0.054188
428.00,0.052125
427.00,0.050358
426.00,0.048534
425.00,0.046919
424.00,0.045236
423.00,0.043759
422.00,0.042514
421.00,0.041109
420.00,0.039579
419.00,0.038497
418.00,0.037224
417.00,0.036079
416.00,0.034951
415.00,0.033796
414.00,0.032832
413.00,0.031882
412.00,0.031060
411.00,0.030103
410.00,0.029346
409.00,0.028515
408.00,0.027576
407.00,0.027058
406.00,0.026463
405.00,0.025613
404.00,0.024939
403.00,0.024315
402.00,0.023917
401.00,0.023172
400.00,0.022680
399.00,0.022355
398.00,0.021885
397.00,0.021544
396.00,0.021044
395.00,0.020810
394.00,0.020655
393.00,0.020324
392.00,0.020039
391.00,0.019830
390.00,0.019495
389.00,0.019423
388.00,0.019095
387.00,0.019022
386.00,0.019014
385.00,0.019078
384.00,0.018972
383.00,0.019102
382.00,0.019055
381.00,0.019118
380.00,0.019023
379.00,0.019403
378.00,0.019351
377.00,0.019322
376.00,0.019609
375.00,0.019917
374.00,0.020258
373.00,0.020057
372.00,0.020637
371.00,0.020854
370.00,0.021068
369.00,0.021679
368.00,0.022091
367.00,0.022715
366.00,0.023178
365.00,0.023653
