Wavelength (nm),basic,Acid,10-10,12-8,14-6,16-4,18-2
765.50,-0.008135,-0.009853,-0.001940,-0.007667,-0.000911,-0.012375,-0.003290
765.00,-0.008830,-0.010333,-0.001311,-0.008291,0.000205,-0.010461,-0.002064
764.50,-0.008247,-0.011322,0.000933,-0.008319,0.000151,-0.009104,-0.002575
764.00,-0.008753,-0.009873,0.000565,-0.007815,0.001471,-0.009180,0.000461
763.50,-0.005245,-0.007264,-0.000739,-0.007789,0.000481,-0.008323,0.000112
763.00,-0.008406,-0.006239,0.000557,-0.007747,-0.000020,-0.005467,0.000298
762.50,-0.006435,-0.007990,0.002477,-0.006015,0.000196,-0.008097,0.001280
762.00,-0.009071,-0.009393,-0.002269,-0.007915,-0.003534,-0.010115,-0.002527
761.50,-0.006001,-0.007412,-0.000162,-0.006835,-0.000634,-0.008701,0.000905
761.00,-0.006860,-0.009351,-0.000537,-0.009581,-0.001472,-0.007323,-0.002319
760.50,-0.006714,-0.005818,-0.000650,-0.009187,0.002065,-0.007248,0.000854
760.00,-0.005628,-0.008138,0.000744,-0.007044,0.000824,-0.007947,-0.000142
759.50,-0.006828,-0.010316,-0.002528,-0.010230,-0.001225,-0.009453,-0.000323
759.00,-0.005536,-0.009061,-0.000257,-0.006605,-0.000201,-0.007890,0.000924
758.50,-0.006384,-0.006496,-0.001556,-0.010401,-0.000970,-0.009500,-0.002013
758.00,-0.003568,-0.005434,0.003198,-0.004581,0.001220,-0.005139,0.002300
757.50,-0.008011,-0.007995,0.000463,-0.007873,0.000109,-0.009245,-0.000930
757.00,-0.006617,-0.008106,-0.002710,-0.008883,-0.002623,-0.008964,-0.000991
756.50,-0.005639,-0.009183,-0.001634,-0.009383,-0.002256,-0.009502,-0.002343
756.00,-0.006873,-0.008442,-0.001604,-0.009334,-0.001636,-0.008195,-0.000084
755.50,-0.007521,-0.008955,-0.001263,-0.008357,-0.000639,-0.006635,-0.001686
755.00,-0.004338,-0.008423,0.000041,-0.006299,-0.000350,-0.007467,-0.000519
754.50,-0.006684,-0.005958,0.000507,-0.006438,-0.000278,-0.007298,0.001077
754.00,-0.006770,-0.005608,-0.000514,-0.008165,0.000002,-0.009446,-0.000912
753.50,-0.006514,-0.006284,-0.000466,-0.006924,0.001438,-0.006212,-0.000547
753.00,-0.004681,-0.007918,-0.000758,-0.004840,0.000327,-0.006619,-0.000931
752.50,-0.004197,-0.005794,0.000388,-0.006563,0.000049,-0.008075,-0.000052
752.00,-0.006640,-0.012639,-0.001522,-0.009581,-0.002180,-0.010149,-0.003907
751.50,-0.004058,-0.006860,-0.001970,-0.006048,-0.000404,-0.004752,-0.001290
751.00,-0.004502,-0.005128,0.001234,-0.004605,0.001942,-0.005460,0.000905
750.50,-0.004971,-0.008456,0.000755,-0.005666,-0.000180,-0.005763,0.000597
750.00,-0.005826,-0.008698,-0.001310,-0.005442,0.000159,-0.008192,-0.000227
749.50,-0.006157,-0.006992,-0.003454,-0.007158,0.001464,-0.008278,0.000727
749.00,-0.003903,-0.004791,0.001948,-0.004587,0.000922,-0.005451,0.001117
748.50,-0.005822,-0.009305,-0.002616,-0.009146,-0.002667,-0.007145,-0.002925
748.00,-0.006710,-0.007605,-0.001657,-0.008390,0.001583,-0.007724,-0.000517
747.50,-0.005246,-0.006778,0.001544,-0.005556,-0.000303,-0.003237,0.002267
747.00,-0.004445,-0.006623,0.000459,-0.007744,0.000752,-0.007725,-0.002005
746.50,-0.002855,-0.005732,-0.000920,-0.005453,0.001080,-0.005991,0.000598
746.00,-0.003909,-0.005483,0.001906,-0.007141,0.002254,-0.007816,0.001676
745.50,-0.004335,-0.008324,-0.000564,-0.004656,0.001307,-0.006373,0.001708
